id;nombre;documento;direccion;email;telefono;cargo;codigo_su;activo
1;overriding Account bandwidth;Artesanal;overriding;Cristin_Alanis60@gmail.com;hard Director;CAJERO;integrated objetos Fantástico;true
2;Normas Colegio Madrid;Sorprenden;bypassing Sorprendente;Isabela38@hotmail.com;COM estandardización back-end;GERENTE;SSL;false
3;AI enhance;Australian;Madera enhance demanda;Irene_Matos@yahoo.com;enhance;CAJERO;Gris;true
4;generate;architect;Ordenador reboot Amarillo;Catalina75@yahoo.com;Director;GERENTE;software;false
5;Rioja deliver Barbados;holística ;Agente Algodón dynamic;Miguel.Cisneros@gmail.com;Guantes;CAJERO;wireless;true
6;Práctico quantify;Granito Pa;functionalities Chalet;Adela48@yahoo.com;Subida;CAJERO;Grupo Portugal;true
7;payment acceso Sabroso;Negro;Ladrillo Bedfordshire Account;Manuel66@hotmail.com;synthesize eyeballs;CAJERO;Plástico Partida eyeballs;true
8;sexy withdrawal;redefine M;Bicicleta Producto Mesa;Germn.Reyes@gmail.com;intangible;CAJERO;Informática synergies;true
9;Usabilidad Account;Navarra;copying recíproca;Cristin.Rojo35@yahoo.com;Account Heredado;CAJERO;función innovadora Hogar;false
10;Pequeño Administrador;payment;Borders Soluciones Acero;Ignacio.Solorzano@hotmail.com;synthesize Aplicaciones Agente;SUPERVISOR;program FTP Baleares;true
